Date,Open,High,Low,Close,Adj_Close,Volume,Compound,Negative,Neutral,Positive
8/16/2010,8.842143,8.928929,8.807857,8.844286,7.507001,318430000,0.4691,0.074,0.825,0.101
8/17/2010,8.931429,9.093929,8.9,8.998929,7.638261,422640400,-0.515,0.084,0.853,0.063
8/18/2010,9.012857,9.095357,8.985,9.038214,7.671606,339696000,0.9442,0.022,0.864,0.114
8/19/2010,9.03,9.052857,8.881429,8.924286,7.574902,426706000,0.9451,0.04,0.861,0.099
8/20/2010,8.906786,9.068571,8.892857,8.915714,7.56763,384230000,0.6331,0.039,0.896,0.065
8/23/2010,8.9925,9,8.758929,8.778571,7.451221,414041600,-0.4555,0.062,0.888,0.05
8/24/2010,8.666786,8.678571,8.523214,8.568929,7.273279,602565600,-0.8758,0.093,0.862,0.045
8/25/2010,8.501429,8.713929,8.471429,8.674643,7.363008,596867600,0.9691,0.051,0.83,0.119
8/26/2010,8.766071,8.776786,8.581429,8.581429,7.283887,466505200,0.7303,0.045,0.877,0.078
8/27/2010,8.633929,8.664643,8.412857,8.629286,7.324507,548391200,-0.7175,0.101,0.841,0.058
8/30/2010,8.598571,8.776786,8.595714,8.660714,7.351185,383289200,-0.0772,0.035,0.932,0.033
8/31/2010,8.6375,8.734286,8.583929,8.682143,7.369375,420786800,-0.9367,0.109,0.849,0.042
9/1/2010,8.838214,8.980714,8.795714,8.940357,7.588543,697037600,0,0,0,0
9/2/2010,8.973571,9.006071,8.8775,9.006071,7.644321,415427600,0.9743,0,0.901,0.099
9/3/2010,9.110357,9.242143,9.089286,9.241786,7.844397,520788800,0.5436,0.099,0.782,0.119
9/7/2010,9.165714,9.268929,9.151786,9.2075,7.815294,342557600,-0.6101,0.05,0.932,0.019
9/8/2010,9.277857,9.4425,9.253571,9.39,7.9702,526551200,0.7929,0.063,0.847,0.09
9/9/2010,9.465714,9.518571,9.39,9.395357,7.974744,438575200,0.9652,0.018,0.878,0.104
9/10/2010,9.399643,9.446429,9.335714,9.4075,7.985053,387542400,0.97,0.007,0.903,0.09
9/13/2010,9.493571,9.581429,9.491429,9.537143,8.095098,388780000,0.9718,0.031,0.858,0.111
9/14/2010,9.5075,9.613214,9.482857,9.573571,8.126013,408150400,0.9893,0.028,0.823,0.149
9/15/2010,9.5775,9.656429,9.565714,9.650714,8.191493,429368800,0.9752,0.029,0.868,0.103
9/16/2010,9.651429,9.881071,9.625,9.8775,8.383988,652103200,0.9783,0.008,0.895,0.097
9/17/2010,9.9175,9.927143,9.774286,9.834643,8.347608,634477200,0.8519,0.05,0.846,0.105
9/20/2010,9.86,10.135,9.851786,10.115357,8.585882,658677600,0.9525,0.055,0.844,0.101
9/21/2010,10.137857,10.2625,10.099643,10.134643,8.60225,668074400,0.0562,0.066,0.853,0.081
9/22/2010,10.096786,10.285,10.086071,10.276786,8.722901,585289600,0.9833,0.03,0.837,0.134
9/23/2010,10.226071,10.455714,10.214286,10.318571,8.758366,786116800,0.9835,0.056,0.796,0.148
9/24/2010,10.432143,10.483214,10.376786,10.44,8.861437,649488000,0.9814,0.039,0.775,0.186
9/27/2010,10.499286,10.526071,10.393214,10.398571,8.826271,482834800,0,0,0,0
9/28/2010,10.420357,10.420357,9.821429,10.245,8.695921,1035042400,0,0,1,0
9/29/2010,10.258214,10.350357,10.214286,10.263214,8.711382,469644000,-0.2144,0.034,0.943,0.023
9/30/2010,10.321429,10.357143,10.044643,10.133929,8.601642,673391600,0.9349,0.072,0.798,0.13
10/1/2010,10.219643,10.235,10.048214,10.09,8.564357,448142800,-0.39,0.091,0.851,0.058
10/4/2010,10.057143,10.103571,9.920357,9.951429,8.446739,435302000,0.7525,0.03,0.901,0.069
10/5/2010,10.071429,10.3375,10.065,10.319286,8.758971,501967200,0.9723,0.031,0.835,0.134
10/6/2010,10.3425,10.428214,10.187857,10.328214,8.766552,670868800,0.9821,0.028,0.842,0.131
10/7/2010,10.369286,10.374286,10.246786,10.329286,8.767462,408399600,0.9722,0.013,0.886,0.101
10/8/2010,10.418214,10.517857,10.357143,10.5025,8.914486,658403200,0.9727,0.019,0.868,0.113
10/11/2010,10.526429,10.615714,10.521429,10.548571,8.953587,427753200,-0.34,0.053,0.906,0.041
10/12/2010,10.550357,10.696429,10.446071,10.662143,9.049992,558544000,0.8592,0.008,0.953,0.039
10/13/2010,10.721429,10.784286,10.707143,10.719286,9.098491,630092400,0.8402,0.036,0.888,0.076
10/14/2010,10.774643,10.8025,10.728571,10.796786,9.164279,435296400,0,0,0,0
10/15/2010,10.98,11.25,10.889643,11.240714,9.541078,922194000,0.8399,0.049,0.868,0.084
10/18/2010,11.373929,11.392857,11.224643,11.357143,9.639904,1093010800,0.9573,0.029,0.891,0.08
10/19/2010,10.835714,11.206071,10.715,11.053214,9.381932,1232784000,0.4855,0.082,0.823,0.095
10/20/2010,11.035714,11.223214,10.959643,11.090357,9.413459,721624400,0.9763,0.028,0.854,0.118
10/21/2010,11.155714,11.240714,10.957143,11.054286,9.382838,551460000,0.9367,0.048,0.846,0.106
10/22/2010,11.038214,11.072857,10.939286,10.981071,9.320696,372778000,0,0,0,0
10/25/2010,11.038929,11.128571,11.015714,11.03,9.362226,392462000,0.9804,0.044,0.835,0.122
